Iterations, Xl, Xh, Xm, Error(%), f(Xm)
186,15.916632 ,20.000004 ,15.916930 ,0.000019 ,-0.000051 
187,15.916930 ,20.000004 ,15.917213 ,0.000018 ,-0.000049 
188,15.917213 ,20.000004 ,15.917484 ,0.000017 ,-0.000046 
189,15.917484 ,20.000004 ,15.917742 ,0.000016 ,-0.000044 
190,15.917742 ,20.000004 ,15.917988 ,0.000015 ,-0.000042 
191,15.917988 ,20.000004 ,15.918222 ,0.000015 ,-0.000040 
192,15.918222 ,20.000004 ,15.918445 ,0.000014 ,-0.000038 
193,15.918445 ,20.000004 ,15.918658 ,0.000013 ,-0.000037 
194,15.918658 ,20.000004 ,15.918861 ,0.000013 ,-0.000035 
195,15.918861 ,20.000004 ,15.919055 ,0.000012 ,-0.000033 
196,15.919055 ,20.000004 ,15.919239 ,0.000012 ,-0.000032 
197,15.919239 ,20.000004 ,15.919415 ,0.000011 ,-0.000030 
198,15.919415 ,20.000004 ,15.919582 ,0.000011 ,-0.000029 
199,15.919582 ,20.000004 ,15.919742 ,0.000010 ,-0.000027 
200,15.919742 ,20.000004 ,15.919894 ,0.000010 ,-0.000026 
